lens_make,lens_model,lens_type,lens_crop_factor,lens_dist_model,lens_dist_focal,lens_dist_a,lens_dist_b,lens_dist_c,lens_dist_k1,lens_dist_k2,lens_dist_k3,Corner Radius
AEE,fixed lens,equisolid,6,ptlens,5,0.05109,-0.12092,0.10955,,,,0.7211102551
Apple,fixed lens,,6.118,ptlens,4.25,0.02465,-0.089989,0.111108,,,,0.8320022942
Apple,fixed lens,,8.667,ptlens,6,-0.044229,0.125299,-0.112978,,,,0.4160091468
Arsenal,MC Volna-3 80mm f/2.8,,1.523,ptlens,80,0,0.00056,0,,,,0.177555053
Beroflex,Beroflex 1:8 500mm,,1.531,poly3,500,,,,0.00108,,,0.02826036271
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,100,,,,-0.001195,,,0.2163330765
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,123,,,,0.001845,,,0.17588055
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,142,,,,0.00427,,,0.152347237
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,173,,,,0.006821,,,0.1250480211
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,210,,,,0.008324,,,0.1030157507
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,250,,,,0.008554,,,0.08653323061
Canon,Canon EF 100-300mm f/5.6L,,1,poly3,300,,,,0.009679,,,0.07211102551
Canon,Canon EF 100-400mm f/4.5-5.6L IS USM,,1.611,ptlens,100,0.001543,-0.003547,0,,,,0.1342849637
Canon,Canon EF 100-400mm f/4.5-5.6L IS USM,,1.611,ptlens,135,0.000471,-0.000408,0,,,,0.09947034348
Canon,Canon EF 100-400mm f/4.5-5.6L IS USM,,1.611,ptlens,150,0.00022,0.000681,0,,,,0.08952330914
Canon,Canon EF 100-400mm f/4.5-5.6L IS USM,,1.611,ptlens,200,-0.00011,0.00192,0,,,,0.06714248185
Canon,Canon EF 100-400mm f/4.5-5.6L IS USM,,1.611,ptlens,250,0.001326,-0.001117,0,,,,0.05371398548
